station_name,CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
2022/Merens_Comte/SM5744_349E_Bleu/Data/,349_bleu_estive,1,176.705128205128,14.1784496768854,185,179.036960985626,27.9957951779055,185,182.141692150866,31.9736337732786,185,182.826773659406,40.9576336716028,185
2022/Merens_Comte/SM5744_349E_Bleu/Data/,349_bleu_estive,2,8984.57692307692,10.6271534538908,8984.5,8984.75770020533,26.0737151438952,8984,8983.75840978593,48.6826535586546,8984,8985.45433702712,84.6686261565152,8977
2022/Merens_Comte/SM5744_349E_Bleu/Data/,349_bleu_estive,3,331.833333333333,0.372677996249965,332,331.624229979466,0.736596990052371,332,331.327217125382,1.88452664496645,332,331.548083046745,4.83449950991623,331
2022/Merens_Comte/SM5744_349E_Bleu/Data/,349_bleu_estive,4,536.179487179487,15.3995867325031,545,538.850102669404,30.7748683266612,545,541.881753312945,34.7491562007031,546,542.918481722073,45.5559465435889,546
2022/Merens_Comte/SM5810_349L_Bleu/Data/,349_bleu_lisiere,1,173.683544303797,39.8813253159532,185,178.304081632653,41.1964356452216,185,180.151685393258,47.0764159905137,185,186.858780084044,41.9270776522474,185
2022/Merens_Comte/SM5810_349L_Bleu/Data/,349_bleu_lisiere,2,8954.54430379746,9.99341234704577,8954,8954.52653061224,24.9946996463716,8954,8958.37997957099,48.1412592829891,8955,8973.12428371323,81.9407288118321,8967
2022/Merens_Comte/SM5810_349L_Bleu/Data/,349_bleu_lisiere,3,332.177215189873,0.742208365279446,332,332.406122448979,1.09374999256262,332,332.612359550561,2.64524752591874,332,333.276836877626,5.05071890378571,332
2022/Merens_Comte/SM5810_349L_Bleu/Data/,349_bleu_lisiere,4,532.873417721518,43.4649188058621,545,537.94081632653,44.835920450002,545,540.201736465781,51.3339091821207,547,548.264357570355,46.6201930859627,547
2022/Merens_Comte/SM6988_509E_Rouge/Data/,509_rouge_estive,1,188.307692307692,12.7543936042846,185,184.335365853658,16.6679469813612,185,180.077902240325,26.8836699742001,185,182.762953532781,34.5825235948656,185
2022/Merens_Comte/SM6988_509E_Rouge/Data/,509_rouge_estive,2,9051.85897435897,11.3439516912626,9051,9052.78658536585,28.4797243332229,9053,9056.6649694501,55.9197560714704,9057,9064.31508593252,101.76502381264,9056
2022/Merens_Comte/SM6988_509E_Rouge/Data/,509_rouge_estive,3,332.153846153846,0.36080121229411,332,332.014227642276,1.07152767483397,332,332.022912423625,2.03632602915516,332,332.085168682367,4.97937211679016,331
2022/Merens_Comte/SM6988_509E_Rouge/Data/,509_rouge_estive,4,550.410256410256,13.9066815682946,547,545.90650406504,18.1748340251975,546,541.44348268839,29.1313368986083,546,544.598345003182,38.6404170589318,546
