station_name,CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
2022/Orgeix_Coume/SM7142_369E_Bleu/Data/,369_bleu_estive,1,181.346153846153,18.2692307692307,185,183.47261663286,31.363047219322,185,185.877166156982,43.0403255253388,185,169.072164948453,56.5387142027518,185
2022/Orgeix_Coume/SM7142_369E_Bleu/Data/,369_bleu_estive,2,9295.92307692307,10.215334414458,9296,9296.37728194726,27.2977655341945,9296,9294.48419979612,59.3094392761782,9294,9301.70726740486,126.318957008484,9304
2022/Orgeix_Coume/SM7142_369E_Bleu/Data/,369_bleu_estive,3,326.730769230769,0.842357450819241,327,326.845841784989,2.45539682769585,327,326.296126401631,4.30376589713897,326,324.646811760213,5.25044047601088,325
2022/Orgeix_Coume/SM7142_369E_Bleu/Data/,369_bleu_estive,4,543.589743589743,19.9560002527585,547,546.018255578093,34.8812193579025,547,548.246687054026,48.7640024244264,546,529.071401298205,63.6493421869706,545
2022/Orgeix_Coume/SM7175_369L_Bleu/Data/,369_bleu_lisiere,1,171.599999999999,27.4069334293349,154,200.123456790123,30.801053927261,216,183.152671755725,45.7998088736374,185,173.922567498726,51.0168992521279,185
2022/Orgeix_Coume/SM7175_369L_Bleu/Data/,369_bleu_lisiere,2,9352.95,11.3566060070779,9354.5,9352.65432098765,28.6013441051509,9354,9356.29058524172,58.2290339506236,9356,9373.30387162506,130.083671965235,9371
2022/Orgeix_Coume/SM7175_369L_Bleu/Data/,369_bleu_lisiere,3,329.637499999999,0.951889568174796,329,329.452674897119,1.81580369277263,329,327.986259541984,3.1692406044625,328,325.9475292919,4.78126200774293,327
2022/Orgeix_Coume/SM7175_369L_Bleu/Data/,369_bleu_lisiere,4,536.112499999999,30.2758128503596,517,566.965020576131,34.3587465981798,583,547.569465648854,50.4284228992072,547,536.536296484972,57.0079610489836,549
2022/Orgeix_Coume/SM7108_517E_Rouge/Data/,517_rouge_estive,1,189.556962025316,6.89844384477909,185,179.434077079107,30.2649258268442,185,181.598473282442,30.7692900286155,185,183.149312627291,36.1899792033848,185
2022/Orgeix_Coume/SM7108_517E_Rouge/Data/,517_rouge_estive,2,9594.6329113924,14.6669155077383,9595,9594.21298174442,38.0546909977037,9596,9588.76284987277,69.9126590263356,9599,9574.36532586558,123.857746154326,9594
2022/Orgeix_Coume/SM7108_517E_Rouge/Data/,517_rouge_estive,3,332.658227848101,0.709538554797039,333,332.618661257606,1.58101587263165,333,333.214249363867,2.51740011062056,333,334.073956211812,4.32244814585936,334
2022/Orgeix_Coume/SM7108_517E_Rouge/Data/,517_rouge_estive,4,562.32911392405,7.37893258204142,558,551.129817444219,33.3004544579595,557,553.951145038167,33.5227339967617,559,555.9375,39.7578469507257,563
2022/Orgeix_Coume/SM5765_517L_Rouge/Data/,517_rouge_lisiere,1,192.275,6.88653577642634,194,188.916155419222,23.1646353748438,194,184.64481707317,30.2758383160383,194,183.209929980903,43.1014624977046,185
2022/Orgeix_Coume/SM5765_517L_Rouge/Data/,517_rouge_lisiere,2,9520.575,16.7427409643701,9520.5,9519.97750511247,41.2119255418073,9520,9520.68140243902,79.9788629321482,9524,9518.72476129853,133.551171212145,9533
2022/Orgeix_Coume/SM5765_517L_Rouge/Data/,517_rouge_lisiere,3,333.024999999999,0.688748865697796,333,332.764826175869,1.67622311978156,333,332.652947154471,2.47753759482933,332,333.194780394653,4.1298464344044,332
2022/Orgeix_Coume/SM5765_517L_Rouge/Data/,517_rouge_lisiere,4,564.024999999999,7.20759148398409,566,560.312883435582,25.557310746352,565,555.599593495934,33.6731847887677,563,554.368936982813,47.4058641335512,563
